Time,Data
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,2
23,0
24,0
25,1
26,0
27,0
28,0
29,3
30,1
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,1
51,0
52,1
53,1
54,0
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,2
63,0
64,1
65,3
66,0
67,2
68,0
69,1
70,0
71,0
72,2
73,0
74,1
75,2
76,0
77,3
78,0
79,1
80,0
81,0
82,0
83,3
84,0
85,1
86,2
87,1
88,0
89,1
90,2
91,3
92,1
93,1
94,0
95,2
96,1
97,1
98,1
99,1
100,0
101,2
102,0
103,0
104,5
105,2
106,1
107,4
108,1
109,1
110,0
111,2
112,2
113,0
114,1
115,0
116,1
117,2
118,1
119,1
120,1
121,2
122,0
123,4
124,0
125,1
126,0
127,3
128,4
129,1
130,5
131,0
132,3
133,2
134,1
135,1
136,1
137,2
138,0
139,0
140,0
141,2
142,0
143,0
144,1
145,0
146,1
147,1
148,0
149,0
150,1
151,1
152,0
153,0
154,2
155,1
156,1
157,0
158,0
159,2
160,0
161,0
162,2
163,0
164,0
165,1
166,1
167,1
168,0
169,2
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
